image_id,relative_path,raw_path,class_name,class_index,group_id,split,old_grouped_manifest_source_path
IC4SD_EUC_000111,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(100).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(100).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/train/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(100).png
IC4SD_EUC_000112,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(101).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(101).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/test/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(101).png
IC4SD_EUC_000113,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(102).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(102).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/train/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(102).png
IC4SD_EUC_000114,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(103).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(103).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/test/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(103).png
IC4SD_EUC_000115,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(104).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(104).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/train/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(104).png
IC4SD_EUC_000116,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(105).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(105).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/train/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(105).png
IC4SD_EUC_000117,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(81).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(81).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/test/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(81).png
IC4SD_EUC_000118,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(82).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(82).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/test/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(82).png
IC4SD_EUC_000119,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(83).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(83).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/val/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(83).png
IC4SD_EUC_000120,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(84).png,raw/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(84).png,Eucalyptus camaldulensis,0,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,train,data/train/Eucalyptus_camandulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(84).png
