image_id,relative_path,class_name,class_index,split,parsed_group_id,sha256,phash
IC4SD_EUC_000111,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(100).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,7f85f4a4023cbc03b8e68cc8748d921f03d71e47f4240d6acc19afadae529375,a9fc8272cada5a32
IC4SD_EUC_000112,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(101).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,6190bbc82e83bad627257c9e30e80b8f44e569eb9c1c0034d0b3039f15af8866,b68387d9496652dc
IC4SD_EUC_000113,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(102).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,d69217f6426b5d6fd7a9639dadce2be54654fd13b7b113082d89aaf76075aa7b,bbea89d55601b4b2
IC4SD_EUC_000114,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(103).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,ea2e98b57599113a99382082625929535f98ecd825bd819b764febd0ceb11536,b8c6b005a92cd7be
IC4SD_EUC_000115,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(104).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,73fba26e6535d4aea3bcfe28ab01a9fbe945226289fe8c29d9eed4bf632c4e1a,a8cf8703f0cc13f3
IC4SD_EUC_000116,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(105).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,5c79ea94ab2e1c27c00be581299a0b50529b69dac7632738d961659baa9492c0,ea9093e481ff2336
IC4SD_EUC_000117,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(81).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,86e4bf7f20cfa5cbf3881932839bde9c75f3838be6a500f995b2cc31a01f3314,ebc6e8a0d53515c6
IC4SD_EUC_000118,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(82).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,58d1471ed36011c59059f07ad95346d0519787db20d9181193a6127cdf6e8280,fa9ad05a8ae1cc2e
IC4SD_EUC_000119,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(83).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,28fff557af0d77106095e55099b0b156cf98ab6e880b29d3a8d137b3956df8dc,a9e5f06515a29f62
IC4SD_EUC_000120,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(84).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,5ed14896a2c9919a7fd4689c0306959e54bc956bc2adc70b350358fd19fd4beb,fe92ff2e8083e038
IC4SD_EUC_000121,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(85).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,5d1c1b5870ad191bde1d6da788cfee10bce1ee01e629d17208ae6d624003c29a,afd8a3e3cc0dc2c2
IC4SD_EUC_000122,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(86).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,1fde86bd0d032756838d1a75d112ea04667ecd481aaccd8fcf609e45dfdb6ae2,b6e9c41f836511a7
IC4SD_EUC_000123,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(87).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,60947891ba34c1c6453b6f3a9327414a8c0ce77450e22113dea39e8d61cc3ae9,abc8f500cf94eac6
IC4SD_EUC_000124,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(88).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,3329df3a7fbcc1b529edb09f15b38bf07234c80d80a174c822392cde0fe56bd6,aed89c0fbe0a322b
IC4SD_EUC_000125,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(89).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,9845c9f8646a65ccbc98b57edf733d272a61a2ea83ca25dfd325c68976b9b715,a948fb5de82ae432
IC4SD_EUC_000126,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(90).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,dcbb0d90f23a6c26dce6314700b18fc60b120282b552097f2de6b10d9e5b830a,aaf5b13adc9da208
IC4SD_EUC_000127,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(91).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,73195593b6588b03a86778986a43f2fb2e85a6fc9b5344643be6eaddc1969739,eafe91819ae9e411
IC4SD_EUC_000128,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(92).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,a77aeaa4c0ed3f574e31c29e75d8f52658f0672b0c0254256fbb6822e82b8d67,fae60eda504cb3a1
IC4SD_EUC_000129,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(93).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,422a3ed1283dba93ffa1d967f7a43d5140c018bc497e0bb65804508ad46b3525,a6ce0d9b1bb0c0eb
IC4SD_EUC_000130,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(94).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,711650b02ce873d2074b63380cde8abb39c84b2a331528f9f8f4436e8421f461,e9f08ae0c58b663b
IC4SD_EUC_000131,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(95).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,bcf88207bfba104b995aa976caa17351bad711ac632ade49f4ea45f37167acf2,ed8e838093856ef9
IC4SD_EUC_000132,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(96).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,23dd33c36546c79c4cd01aa8a9b2771dcc633edb025cf8812700db7eb147637a,bf7da50ac46d4606
IC4SD_EUC_000133,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(97).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,c5c41da9c9067813e292191c1e0820a584a23da27990ea80eb06a7fba72c7eaa,aff4392c93a4c4c6
IC4SD_EUC_000134,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(98).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,184148a17457c752104493fbae5520f565fd083f5bbef3629ac5c91ba850563a,ffc2d28a9a1f9015
IC4SD_EUC_000135,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4/3358. Eucalyptus camandulensis.4.(99).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.4,db8f45a51a31f18332e3f44cea3b817d9394789910c65c69455a55b7e58b0179,af4ee45ad842d994
IC4SD_EUC_000136,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.5/3358. Eucalyptus camandulensis.5.(106).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.5,a376926d2d5730b5bbe13689417e7294cb8f6889f5e7fcf455bf35e50395733a,bfc48109b8b85b75
IC4SD_EUC_000137,Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.5/3358. Eucalyptus camandulensis.5.(107).png,Eucalyptus camaldulensis,0,test,Eucalyptus camaldulensis::3358. Eucalyptus camandulensis.5,4fdc9859588fa3b509c2dc9a1f7e47e36a0bac841fa0fbe6124942c03c1abb75,bb1f942731dd4918
